Time,P (deg/s),Q (deg/s),R (deg/s),P dot (deg/s^2),Q dot (deg/s^2),R dot (deg/s^2),P_{inertial} (deg/s),Q_{inertial} (deg/s),R_{inertial} (deg/s),q bar (psf),Reynolds Number,V_{Total} (ft/s),V_{Inertial} (ft/s),UBody,VBody,WBody,UdotBody,VdotBody,WdotBody,UdotBody_i,VdotBody_i,WdotBody_i,BodyAccel_X,BodyAccel_Y,BodyAccel_Z,Aero V_{X Body} (ft/s),Aero V_{Y Body} (ft/s),Aero V_{Z Body} (ft/s),V_{X_{inertial}} (ft/s),V_{Y_{inertial}} (ft/s),V_{Z_{inertial}} (ft/s),V_{X_{ecef}} (ft/s),V_{Y_{ecef}} (ft/s),V_{Z_{ecef}} (ft/s),V_{North} (ft/s),V_{East} (ft/s),V_{Down} (ft/s),I_{xx},I_{xy},I_{xz},I_{yx},I_{yy},I_{yz},I_{zx},I_{zy},I_{zz},Mass,Weight,X_{cg},Y_{cg},Z_{cg},Altitude ASL (ft),Altitude AGL (ft),Phi (deg),Theta (deg),Psi (deg),Q(1)_{LOCAL},Q(2)_{LOCAL},Q(3)_{LOCAL},Q(4)_{LOCAL},Q(1)_{ECEF},Q(2)_{ECEF},Q(3)_{ECEF},Q(4)_{ECEF},Q(1)_{ECI},Q(2)_{ECI},Q(3)_{ECI},Q(4)_{ECI},Alpha (deg),Beta (deg),Latitude (deg),Latitude Geodetic (deg),Longitude (deg),X_{ECI} (ft),Y_{ECI} (ft),Z_{ECI} (ft),X_{ECEF} (ft),Y_{ECEF} (ft),Z_{ECEF} (ft),Earth Position Angle (deg),Distance AGL (ft),Terrain Elevation (ft),navigation/actual-heading-rad,systems/mixture-cmd-norm,guidance/wp-heading-rad,guidance/wp-distance,guidance/wp-heading-deg,guidance/selected_target_heading,guidance/angle-to-heading-rad,ap/roll-control-autopilot-on,ap/roll-autopilot-windup-trigger,ap/limited-roll-angle-rad,ap/roll-attitude-selector,ap/limited-roll-angle-error,ap/roll-rate-pid-control,ap/total-limited-roll-rate,ap/roll-rate-saturation,ap/limited-roll-rate-error,ap/roll-command-pid-control,ap/roll-cmd-smoother,ap/roll-cmd-norm-output,ap/roll-command-selector-steering,fcs/attitude/sensor/phi-rad,fcs/wing-leveler-ap-on-off,fcs/roll-ap-error-pid,fcs/roll-ap-autoswitch,fcs/heading-true-degrees,fcs/heading-error,fcs/heading-error-bias-switch,fcs/heading-corrected,fcs/heading-command,fcs/heading-roll-error-lag,fcs/heading-roll-error,fcs/heading-roll-error-switch,fcs/heading-pi-controller,fcs/roll-command-selector,fcs/altitude-error,fcs/alt-error-lag,fcs/hdot-command,fcs/hdot-error,fcs/ap-alt-hold-switch,fcs/windup-trigger,fcs/altitude-hold-pid,fcs/elevator,fcs/pitch-trim-sum,fcs/elevator-control,fcs/elevator-actuator,fcs/roll-trim-sum,fcs/left-aileron-control,fcs/left-aileron-actuator,fcs/right-aileron-control,fcs/right-aileron-actuator,fcs/effective-aileron-pos,fcs/yaw-trim-sum,fcs/rudder-control,fcs/flaps-control,fcs/flap-position-normalizer,IO320 Power Available (engine 0 in ft-lbs/sec),IO320 HP (engine 0),IO320 equivalent ratio (engine 0),IO320 MAP (engine 0 in inHg),Fixed-Pitch 75-inch Two-Blade Propeller Torque (engine 0),Fixed-Pitch 75-inch Two-Blade Propeller PFactor Pitch (engine 0),Fixed-Pitch 75-inch Two-Blade Propeller PFactor Yaw (engine 0),Fixed-Pitch 75-inch Two-Blade Propeller Thrust (engine 0 in lbs),Fixed-Pitch 75-inch Two-Blade Propeller RPM (engine 0),Fuel Tank 0,Fuel Tank 1,/fdm/jsbsim/position/vrp-gc-latitude_deg,/fdm/jsbsim/position/vrp-longitude_deg,/fdm/jsbsim/position/vrp-radius-ft
0,0,-0.0004436056142741406,0.0001627019852327785,13.05353877633253,109.9259165717716,-1.418605302133532,-0.002677597465485495,0.0005309601625092039,-0.002892947997020543,29.41578838,4812206.736,162.02976,997.052575612,162.02976,2.486899575160351e-14,0,-2.376357541538963,-0.01996196562169586,15.25236897117464,5.692932295485276,-10.70957196449142,-9.637409463985616,-2.477433715987428,4.39897009318572e-06,-16.80903799859651,162.0297600000001,1.573735731916559e-14,2.366582715663035e-30,-894.640298300857,-427.7263921392627,-103.8398221231608,-12.0122790756376,123.8008062110135,-103.8398221231608,-152.2581698197117,-55.41744173822368,1.798891702264882e-14, 2095.734789,-10.78165406, 13.55483226,-10.78165406, 1505.011867, 3.979907289, 13.55483226, 3.979907289, 3150.439208,77.08075536,2480,45.48951612903226,4.22741935483871,35.42701612903226,1999.9999999963,1999.9999999963,-6.921926966887671e-15,-2.058919473542247e-15,200,-0.1736481776669302,2.818375010831667e-17,-5.636750021663334e-17,0.984807753012208,0.3465337178477598,0.5855307477220864,0.723070255425847,-0.1193211279909135,-0.3465337178477598,-0.5855307477220864,-0.723070255425847,0.1193211279909135,8.3685368339804e-31,5.5649292764336e-15,47,47.19154643501,122,-7563336.540225657,12103868.620081,15305511.606302,-7563336.540225657,12103868.620081,15305511.606302,0,1999.9999999963,0,3.4936585,0.929474011,5.14104926,41031404.3,294.582123,5.14104926,1.64739076,0,1,0.523,0,1.20810416e-16,3.62431248e-15,0.348,0,3.62431248e-15,9.06078121e-15,2.66492813e-15,0,0,0,-1,-6.04052081e-15,0,200.014732,-200.014732,360,30,0.5235,0.00108835324,0.00108835324,0,0,0,-100,-0.414936106,-0.0414936106,-0.0414936106,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,-825,-1.5,1.29953,29.9212,1.67683e-05,0,0,-0,0,130,130,46.9999990506394667,122.000000998311023,20927646.5815419815
0.0999996,2.101666016240387,9.509722444860646,0.1778148830642592,21.20302964146084,65.6373623158497,2.615780410042606,2.099014180936916,9.510692245576005,0.1747353442107529,29.53147715,4821663.147,162.347921381,996.99373131,162.3301476346307,-0.01520338366528406,2.402189546719654,2.889869080006516,-0.3855273629470964,31.44537237670888,1.414132025278406,-0.1058363587109206,-5.398531043363487,3.455803198006305,-0.003024233169032217,-27.56047309710257,162.3301476346308,-0.01520338366529321,2.402189546719655,-894.2849178585467,-428.0967072007694,-104.8055115228957,-11.65911934510105,123.4370984241088,-104.8055115228957,-152.5543349460901,-55.52415933074925,1.044124806714842, 2095.729111,-10.78164951, 13.55485804,-10.78164951, 1505.011472, 3.979950715, 13.55485804, 3.979950715, 3150.433773,77.08069477,2479.99805,45.48951415545005,4.227422678166021,35.42699728300224,1999.9386309311,1999.9386309311,0.09426127510045101,0.4793062245428442,200.0064030365816,-0.1736982389352076,-0.00426202107073785,8.352046743996758e-05,0.9847896983577415,0.3430311806249681,0.5863474616178471,0.7243841126861927,-0.1174475230100028,-0.3430316088413972,-0.5863448204783874,-0.7243862505293865,0.1174462723028161,0.84781095323607,-0.0053655735915862,46.999958277557,47.191504734033,121.99997773385,-7563425.982753866,12103825.82282143,15305501.16817884,-7563337.720415986,12103880.97565107,15305501.16817884,0.00041780574199439,1999.9386309311,0,3.49377026,0.929476101,5.14104868,41031405.6,294.582089,5.14104868,1.64727842,0,1,0.523,0,-0.00164516961,-0.0527170527,0.348,0,-0.0863138271,-0.215784568,-0.181988887,0,0,0,-1,0.653792441,0,200.021136,-200.021136,360,30,0.5235,0.0265666065,0.0249214369,0,0,0,-100,-9.89172401,-0.989178472,0.0549463348,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,102299,185.998,1.29953,24.5396,362.757,5.51749,-0.03492,447.452,2783.13,129.999,129.999,46.9999573340608094,121.999978733374576,20927646.5227590464
0.1999992,4.23242415575887,13.94943640731572,0.4682495668671841,21.36101269855647,22.31867275239083,3.12681578174285,4.22983746069515,13.95039090479839,0.4651104194260171,29.64408578,4830852.052,162.656905619,996.921994127,162.561911038195,-0.0689734280772214,5.557811410205488,1.695413001370394,-0.709734540992557,30.75708067040813,-3.151593599494305,7.296665875956322,4.791093915077397,3.882545325314634,0.002616542367047236,-40.87727728737075,162.5619110381951,-0.06897342807723057,5.557811410205491,-894.3761793029828,-427.7314798308018,-104.8355542286034,-11.75259609263981,123.8089334420584,-104.8355542286035,-152.841688707204,-55.64188563599757,0.8171299749394478, 2095.723499, -10.7816451, 13.55488305, -10.7816451, 1505.011087, 3.979992819, 13.55488305, 3.979992819, 3150.428398,77.08063483,2479.996122,45.48951220330061,4.227425965402559,35.42697864163694,1999.8343362175,1999.8343362175,0.40260591667198,1.670062794430582,200.0420443349525,-0.1739395228987012,-0.01496240725465769,0.0009235071434525219,0.9846422273483268,0.3339406238282728,0.5886478886764154,0.7274358061679784,-0.1132010195127506,-0.3339414492909447,-0.5886425841364293,-0.7274400986195667,0.1131985843860493,1.9581164470726,-0.024295841795216,46.999916470649,47.191462949026,121.99995542096,-7563515.411616653,12103783.02537536,15305490.67761325,-7563338.887162872,12103893.33169527,15305490.67761325,0.00083561148398878,1999.8343362175,0,3.49439232,0.929479652,5.14104809,41031406.9,294.582056,5.14104809,1.64665578,0,1,0.523,0,-0.00702679883,-0.174,0.348,0,-0.244760428,-0.61190107,-0.597018204,0,0,0,-1,1.55873426,0,200.05678,-200.05678,360,30,0.5235,0.0508022737,0.0437754749,0,0,0,-100,-18.4666748,-1.84669807,-1.0295681,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,89328.1,162.415,1.29953,22.4391,357.444,12.5324,-0.155529,440.047,2764.29,129.998,129.998,46.9999155421298838,121.99995642193656,20927646.4252582453
0.2999988,6.326559960175661,14.84911629017049,0.780957986699112,20.07474269308505,-3.806528749319706,3.035689455565357,6.32405510193556,14.8500446520136,0.7777454903271686,29.72681505,4837588.992,162.883673362,996.827164475,162.6753346151463,-0.143870735895792,8.234431194669668,0.6287470815259013,-0.7975001607443868,22.35189453827191,-6.531459954703722,12.9837017258396,13.69836794420617,4.413231888778602,0.01256124629387848,-51.84048840441622,162.6753346151464,-0.1438707358958013,8.234431194669673,-894.8747217926222,-426.6968931932892,-103.891238659925,-12.25332860939831,124.8501402311379,-103.891238659925,-153.0375240183027,-55.7689511634048,-0.6567925999946738, 2095.718472,-10.78164115, 13.55490545,-10.78164115, 1505.010742, 3.980030537, 13.55490545, 3.980030537, 3150.423582,77.08058113,2479.994394,45.48951045433979,4.227428910488536,35.42696194054989,1999.817112878,1999.817112878,0.9261592460733039,3.127609376111424,200.1198480242414,-0.1743901307436168,-0.02828095787946248,0.003188118372423507,0.9842652618181176,0.3220405274127355,0.5919370105999766,0.7307924494795532,-0.1088249510423261,-0.322041717734796,-0.5919290170626664,-0.7307989241190684,0.1088214285150654,2.8977706826472,-0.050607816387948,46.999874596117,47.191421095632,121.99993305928,-7563604.870981553,12103740.29938278,15305480.23387397,-7563340.084632277,12103905.75985427,15305480.23387397,0.0012534172259832,1999.817112878,0,3.49575025,0.929480238,5.14104751,41031408.2,294.582022,5.14104751,1.64529726,0,1,0.523,0,-0.0161645282,-0.174,0.348,0,-0.281472579,-0.703681448,-0.694720617,0,0,0,-1,2.65097471,0,200.134589,-200.134589,360,30,0.5235,0.0738559565,0.0576914282,0,0,0,-100,-26.2256097,-2.62260893,-3.27940153,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,77284.3,140.517,1.29953,20.5416,346.733,17.9273,-0.313223,425.358,2727.31,129.997,129.997,46.9998736869109166,121.999934059120932,20927646.4170679636
0.3999984,8.199446996753968,13.85170401939855,1.063425205419606,16.8434373867446,-14.95267651852299,2.514167913436248,8.197025750775197,13.85259538897634,1.060138971763796,29.77070147,4841150.467,163.004295815,996.692094014,162.6982364611916,-0.2165818647613875,9.981853485637544,-0.1195338394276302,-0.6643779723010945,12.51765611297666,-8.130966591015449,16.0932338713047,19.98245287188359,4.753805306527125,0.02272266141663299,-58.80278900748355,162.6982364611917,-0.2165818647613968,9.981853485637551,-895.6231445435678,-425.2210540985673,-102.1830141422517,-13.00390402072815,126.332618730551,-102.1830141422518,-153.0828856504676,-55.91797448451734,-3.034914293591324, 2095.713995,-10.78163763,  13.5549254,-10.78163763, 1505.010434, 3.980064127,  13.5549254, 3.980064127, 3150.419293,77.0805333,2479.992855,45.48950889663565,4.227431533516211,35.42694706580129,1999.9959018491,1999.9959018491,1.655712145705452,4.573984258732665,200.2436945734074,-0.1750162139619182,-0.0418169269622084,0.007199865042305699,0.9836507669967255,0.309130458341023,0.5958604675895474,0.733635908898807,-0.1056741030908543,-0.309131999477407,-0.595849768054145,-0.7336445989521319,0.1056695946679454,3.5108070430961,-0.076128241645764,46.999832687416,47.191379206292,121.99991064269,-7563694.394192033,12103697.70108086,15305469.92496892,-7563341.346164456,12103918.31636687,15305469.92496892,0.0016712229679776,1999.9959018491,0,3.49791178,0.929474151,5.14104692,41031409.5,294.581989,5.14104692,1.64313514,0,1,0.523,0,-0.0288976284,-0.174,0.348,0,-0.314610214,-0.786525536,-0.778802702,0,0,0,-1,3.86892935,0,200.258445,-200.258445,360,30,0.5235,0.0957853006,0.0668876722,0,0,0,-100,-33.2461831,-3.32461967,-6.35953397,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,66333.4,120.606,1.29953,18.829,332.315,20.7157,-0.44948,405.692,2677.17,129.996,129.996,46.9998317988090548,121.999911637200768,20927646.6058761217
0.499998,9.688570533519982,12.24429641696958,1.282911676722441,12.48131194387,-16.07042660372052,1.800268626796648,9.686227122117426,12.24514094407719,1.279557351094633,29.77444487,4841434.588,163.015619073,996.500647136,162.6550133573223,-0.2681411438219001,10.83359551163689,-0.7170690011485128,-0.3733715699535138,4.625583297658942,-8.164154602810209,16.97865070916119,23.62013845631671,4.789022079315489,0.0297513131345885,-62.05294962170734,162.6550133573224,-0.2681411438219095,10.8335955116369,-896.4492971314041,-423.5513387602211,-99.98230268141434,-13.83216897574668,128.0089930965864,-99.98230268141441,-152.9427348105669,-56.10386066001322,-5.913438032137222, 2095.710024,-10.78163452, 13.55494308,-10.78163452, 1505.010162, 3.980093911, 13.55494308, 3.980093911,  3150.41549,77.08049089,2479.991491,45.48950751529826,4.227433859558801,35.42693387520514,2000.4406895824,2000.4406895824,2.56268934529725,5.881437201876238,200.409090126785,-0.1757561988521454,-0.05443500230363463,0.01289245255336906,0.9828430056506522,0.2961674397136543,0.6001651426829305,0.7356778318613385,-0.1042342403897925,-0.2961693398770087,-0.6001517310184659,-0.7356887728784239,0.1042288411764949,3.8105426063473,-0.09424472863481,46.999790791297,47.191337327094,121.99988815941,-7563783.997439733,12103655.26190996,15305459.81372807,-7563342.687947098,12103931.03267543,15305459.81372807,0.0020890287099719,2000.4406895824,0,3.50079847,0.929459006,5.14104633,41031410.8,294.581955,5.14104633,1.64024786,0,1,0.523,0,-0.0447273668,-0.174,0.348,0,-0.34122703,-0.853067576,-0.847176008,0,0,0,-1,5.13409001,0,200.423853,-200.423853,360,30,0.5235,0.116645141,0.0719177739,0,0,0,-100,-39.5986595,-3.95979614,-9.87323418,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,56527.8,102.778,1.29953,17.2846,315.527,21.2196,-0.525204,382.873,2617.75,129.996,129.996,46.9997899230295459,121.999889144084534,20927647.0609783307
0.5999976,10.72927287205265,10.79057529895368,1.430252014893816,8.02166176509021,-12.23990475467505,1.102974781240839,10.72699960764664,10.79136499370072,1.426836615268391,29.74103197,4838683.488,162.925922061,996.240759803,162.5509755193841,-0.2854826219464535,11.04332091340638,-1.356552504474843,0.02401995395702472,-0.2609503260761947,-7.164154083034447,16.40003470234879,25.26540275419904,4.552600089664082,0.03150940182591526,-62.70031134097533,162.5509755193842,-0.2854826219464628,11.04332091340639,-897.2221788507237,-421.8732107829777,-97.52439333333817,-14.60712595091281,129.693795749241,-97.52439333333815,-152.6117381869731,-56.33941929395719,-8.965672344994411, 2095.706514,-10.78163176, 13.55495872,-10.78163176, 1505.009921,  3.98012024, 13.55495872,  3.98012024, 3150.412127,77.0804534,2479.990285,45.48950629420192,4.227435915770495,35.42692221477459,2001.184243571,2001.184243571,3.605346655625231,7.027185035680195,200.6074833896599,-0.176545107365752,-0.06588325812811154,0.0199354497425446,0.9818827828245091,0.2835070612202653,0.6046658829507441,0.7369586897042142,-0.1043781869122733,-0.2835093445565197,-0.6046497609079988,-0.7369719173544234,0.1043719848138248,3.8865648019984,-0.10039506006808,46.999748959796,47.191295509748,121.99986559189,-7563873.681498222,12103612.99134818,15305449.93707824,-7563344.110749868,12103943.91825983,15305449.93707824,0.0025068344519663,2001.184243571,0,3.50426109,0.929433688,5.14104574,41031412,294.581921,5.14104574,1.63678466,0,1,0.523,0,-0.0629251698,-0.174,0.348,0,-0.360043069,-0.900107673,-0.896185252,0,0,0,-1,6.38509569,0,200.62226,-200.62226,360,30,0.5235,0.136487637,0.0735624671,0,0,0,-100,-45.3466168,-4.53444687,-13.5001192,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,47849.1,86.9984,1.29953,15.8934,297.405,20.2549,-0.523613,358.318,2552.02,129.995,129.995,46.9997481111694739,121.999866562820657,20927647.8148118779
0.6999972,11.34903149787634,9.794616113212589,1.514208191830332,4.202107219299105,-7.313484133880318,0.561279282132237,11.34682203572516,9.795345185884042,1.510737884423668,29.67375024,4833159.614,162.744058459,995.906342112,162.3784636117647,-0.2594092130571148,10.89934977881121,-2.092113860811672,0.4987336248439704,-2.472042010838933,-5.654776728792378,15.09198416176073,25.72856134451894,4.164028898754975,0.02672304253338164,-61.93631569161808,162.3784636117648,-0.2594092130571242,10.89934977881123,-897.8656568010252,-420.2949338338375,-94.96774815175783,-15.25264776613448,131.2787572715572,-94.96774815175786,-152.1013124832704,-56.63183618086536,-11.98559282255476, 2095.703418,-10.78162933, 13.55497251,-10.78162933, 1505.009708, 3.980143463, 13.55497251, 3.980143463, 3150.409162,77.08042033,2479.989221,45.48950521710129,4.227437729506934,35.42691192938042,2002.232621938,2002.232621938,4.739243055830636,8.043079065173208,200.8309598731422,-0.1773336579087512,-0.07637323718433746,0.02789664101128643,0.9807862559370285,0.271168560971386,0.6092289144105716,0.7376584670795109,-0.1056774684250635,-0.2711712580151635,-0.6092100874711545,-0.7376740157626306,0.1056705475451708,3.8401114116824,-0.091327815648713,46.999707243841,47.191253805101,121.99984291856,-7563963.436795079,12103570.88420851,15305440.31213595,-7563345.604996909,12103956.96793436,15305440.31213595,0.0029246401939607,2002.232621938,0,3.50816149,0.929397993,5.14104516,41031413.3,294.581887,5.14104516,1.63288367,0,1,0.523,0,-0.0827153954,-0.174,0.348,0,-0.371425734,-0.928564335,-0.926388875,0,0,0,-1,7.58838059,0,200.845753,-200.845753,360,30,0.5235,0.155362406,0.0726470102,0,0,0,-100,-50.5475827,-5.05430685,-17.0398997,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,40237.5,73.1592,1.29953,14.6414,278.722,18.604,-0.442784,333.095,2482.25,129.995,129.995,46.9997064143350727,121.999843872849652,20927648.8732975647
0.7999968,11.62956834739182,9.2572566038174,1.553363542066114,1.33587276941087,-3.349645439356169,0.2266016342779441,11.62741880097541,9.257921338720061,1.549843047616837,29.57529374,4825073.872,162.477084067,995.495913235,162.1291498596883,-0.1832078348819408,10.62581985338818,-2.891613568717625,1.027046023008741,-2.910517736823188,-3.999262075769566,13.56569685533535,25.67756019828251,3.732952438085148,0.01462826293968623,-60.66151857220004,162.1291498596884,-0.1832078348819501,10.62581985338819,-898.3485620590153,-418.8616699668056,-92.39521495138669,-15.73757124094397,132.7187098807698,-92.39521495138669,-151.4278688636035,-56.98360421360574,-14.87522198648266, 2095.700691,-10.78162718, 13.55498466,-10.78162718, 1505.009521, 3.980163918, 13.55498466, 3.980163918, 3150.406549,77.0803912,2479.988283,45.48950426832226,4.227439327161792,35.42690286934853,2003.5769310072,2003.5769310072,5.925528232031847,8.976228840248899,201.0747494621717,-0.1780959918219247,-0.08625316017028763,0.03636806259186411,0.9795507001074104,0.2590471241125112,0.6137630657361024,0.7379707211518293,-0.1076508306977104,-0.2590502639987022,-0.6137415400916538,-0.7379886232897191,0.1076432746764635,3.7497585891493,-0.064606267383376,46.999665690311,47.19121226009,121.99982011598,-7564053.248529129,12103528.9278222,15305430.94407451,-7563347.155884204,12103970.16903095,15305430.94407451,0.0033424459359551,2003.5769310072,0,3.51241642,0.929352223,5.14104456,41031414.4,294.581854,5.14104456,1.62862814,0,1,0.523,0,-0.103419978,-0.174,0.348,0,-0.376750842,-0.941877105,-0.941049028,0,0,0,-1,8.73414362,0,201.089561,-201.089561,360,30,0.5235,0.173316643,0.0698966657,0,0,0,-100,-55.2536104,-5.52457048,-20.3997925,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,33611,61.1108,1.29953,13.5159,260.04,16.7961,-0.289595,307.971,2410.17,129.994,129.994,46.9996648797886607,121.999821051744263,20927650.2274872139
0.8999964,11.66697378983992,9.044411898187246,1.56805852133534,-0.6128466679874317,-0.9845641715263418,0.07845610665544796,11.66488249696264,9.045010267904171,1.564491344407037,29.44748254,4814563.138,162.12953604,995.010571785,161.7985178821695,-0.05274828105480722,10.35486770883034,-3.724394616126303,1.580772254067541,-2.478444910952732,-2.384169615135832,12.07445190767269,25.53537689033369,3.306223472920105,-0.005146122747135292,-59.39355986952588,161.7985178821696,-0.05274828105481645,10.35486770883036,-898.6669903262408,-417.5803526963319,-89.8350015537231,-16.0579968023407,134.0067150968706,-89.83500155372309,-150.6048308600232,-57.39435379918157,-17.60850732212799,  2095.69829, -10.7816253, 13.55499535, -10.7816253, 1505.009356, 3.980181924, 13.55499535, 3.980181924,  3150.40425,77.08036556,2479.987458,45.48950343315818,4.227440733499778,35.42689489424244,2005.2024051771,2005.2024051771,7.134845876961252,9.866534161153586,201.3372899509177,-0.178827246896993,-0.09582176652063293,0.04503158173778658,0.9781672461671881,0.2470394426495754,0.6182114833880248,0.7380427158878736,-0.1099046182260628,-0.247043048969163,-0.6181872646364468,-0.7380630017209088,0.1098965117192044,3.6618518382523,-0.018640983056812,46.999624341861,47.191170917484,121.99979716032,-7564143.100293817,12103487.10713244,15305421.8327204,-7563348.747002876,12103983.50649296,15305421.8327204,0.0037602516779495,2005.2024051771,0,3.51699862,0.929296883,5.14104397,41031415.5,294.58182,5.14104397,1.62404536,0,1,0.523,0,-0.124526552,-0.174,0.348,0,-0.377697229,-0.944243072,-0.944348839,0,0,0,-1,9.82654488,0,201.352121,-201.352121,360,30,0.5235,0.190395245,0.0658686924,0,0,0,-100,-59.5117996,-5.94994154,-23.5584489,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,27878.1,50.6875,1.29953,12.5054,241.29,15.0287,-0.0765569,282.178,2337.15,129.994,129.994,46.999623550516354,121.999798076488887,20927651.8625850379
